Date,High,Low,Open,Close,Volume,Adj Close,Ticker
2000-07-28,21.125,14.75,14.9375,19.5859375,18615200.0,19.5859375,ILMN
2000-07-31,19.34375,15.75,19.125,17.5,2481800.0,17.5,ILMN
2000-08-01,20.0625,16.5,17.40625,17.75,1216200.0,17.75,ILMN
2000-08-02,19.5,16.78125,16.8125,19.0625,856400.0,19.0625,ILMN
2000-08-03,23.875,18.5,19.0625,22.125,1368000.0,22.125,ILMN
2000-08-04,22.75,19.875,22.7421875,20.46875,1284200.0,20.46875,ILMN
2000-08-07,24.125,19.5,21.46875,21.125,565600.0,21.125,ILMN
2000-08-08,22.25,20.28125,21.09375,20.4921875,329600.0,20.4921875,ILMN
2000-08-09,21.40625,20.0,20.84375,21.40625,326800.0,21.40625,ILMN
2000-08-10,23.625,20.75,21.3125,22.5,657800.0,22.5,ILMN
2000-08-11,22.5,20.9375,22.46875,20.9375,394800.0,20.9375,ILMN
2000-08-14,21.375,19.8125,21.3125,20.0,473400.0,20.0,ILMN
2000-08-15,20.5,19.5,20.21875,20.0,307000.0,20.0,ILMN
2000-08-16,21.875,20.875,21.03125,21.3125,554200.0,21.3125,ILMN
2000-08-17,21.9375,20.9375,21.1875,20.9375,487200.0,20.9375,ILMN
2000-08-18,23.5,20.9375,20.9375,22.0,164800.0,22.0,ILMN
2000-08-21,23.875,22.0,22.0,22.59375,314400.0,22.59375,ILMN
2000-08-22,22.625,21.0625,22.625,21.0625,362600.0,21.0625,ILMN
2000-08-23,22.0,20.375,21.25,20.5625,332400.0,20.5625,ILMN
2000-08-24,20.9375,19.9375,20.625,20.0078125,214000.0,20.0078125,ILMN
2000-08-25,21.1875,20.03125,20.03125,20.875,558400.0,20.875,ILMN
2000-08-28,21.875,20.375,21.8125,20.8125,319200.0,20.8125,ILMN
2000-08-29,21.25,20.6875,20.8125,21.25,172400.0,21.25,ILMN
2000-08-30,21.0,19.71875,20.875,20.0,842800.0,20.0,ILMN
2000-08-31,23.625,19.9375,19.9375,22.375,890600.0,22.375,ILMN
2000-09-01,23.5,21.75,23.0,23.3125,376200.0,23.3125,ILMN
2000-09-05,23.71875,21.5,23.5625,22.875,192000.0,22.875,ILMN
2000-09-06,23.40625,20.875,23.40625,21.0,443000.0,21.0,ILMN
2000-09-07,22.5,20.5625,21.875,22.5,324800.0,22.5,ILMN
2000-09-08,22.5,21.1875,22.5,21.46875,353000.0,21.46875,ILMN
2000-09-11,22.0,20.1875,21.5,20.5625,601600.0,20.5625,ILMN
2000-09-12,20.8125,19.5,20.625,20.375,247800.0,20.375,ILMN
2000-09-13,20.5,17.5625,19.953125,18.25,617400.0,18.25,ILMN
2000-09-14,18.8125,17.9375,18.453125,18.5,275800.0,18.5,ILMN
2000-09-15,19.0,18.25,18.5,18.875,232200.0,18.875,ILMN
2000-09-18,18.5,16.09375,17.75,17.0,342000.0,17.0,ILMN
2000-09-19,17.59375,16.5,17.0,16.65625,567200.0,16.65625,ILMN
2000-09-20,17.59375,16.3125,16.9375,17.0,483200.0,17.0,ILMN
2000-09-21,17.8125,17.4375,17.71875,17.6875,72400.0,17.6875,ILMN
2000-09-22,19.9375,17.03125,17.03125,19.625,174400.0,19.625,ILMN
2000-09-25,20.4375,19.75,20.265625,19.9375,534800.0,19.9375,ILMN
